id,tweet,isVulgar,emoScore,label
67,photo can i love you less no pink iphon random instamod photographi loljk,0,0,0
68,shine bright like wine amaz beauti copenhagen creativ compos denmark fun f digit femal hot icon kepthefaith l digit l mariajensen music origin pop produc red rock soul singer songwrit song univers soni,0,0,0
69,samsung galaxi digit my wed dvd which i thought i would lost day,0,0,0
70,rt meliecandi appl ipadmini digit sold instamo planeteig digit new babi or instas,0,0,0
71,that feel when your broken phone  s screen is being replac iphon happi,0,0,0
72,be the light for my way pleas lamp light photoftheday instagod life pekanbaru riau indonesia photographi stretphotographi soni a digit sonya digit,0,0,0
73,new acquisit iphon digit s gold appl it phone brussel potd picoftheday,0,0,0
74,if i have not text back my phone reset after work   again   sorri iphon,0,0,1
75,happi sunday samsung phone smile incept white tea chill,0,1,0
76,carcasa clear cover para samsung grandprim felizdomingo samsunggalaxi g digit felizlun felizsemana digit oct digit oct,0,0,0
77,apl  s mighti mous came with digit lithium a  s apl  s magic mous come with digit alkalin a  s the magic mous is   digit more appl,0,0,1
78,folowsunday folowback rt teamfolowback follow retwet iphon keep doing yes thing,0,0,0
79,i m not happi at all with i ve had my tumbl dryer for digit month it s been replac alreadi and the same problem has occur again iwant this issu resolv and want to be abl to return this product back to samsung i am not,0,0,0
80,retwet a digit sl soni sonya digit s digit throwback shoot bluri natur pictur photo girl smile art,0,0,0
81,call it the appl phone and put an absurd price on it and you have the new appl devic tech,0,0,1
82,commonwealth game skye nicolson win box gold in memori of her dead brother commonwealth game digit adapt galatasaray iherbord samsung presidenttrump,0,0,0
83,oh dear no joy for the new iphon digit any good comment about it is just lip servic win getalif appl tecshit,0,0,1
84,love it final enjoy my game playstat digit tombraid laracroft playstat samsung gamer,0,0,0
85,the hunger game in the simpson simpson thehungergam iphon instagram appl alway digit,0,0,0
86,appl call and made someth wrong right today make me thank you,0,0,0
87,new item iphon appl earphon earpod white lifestyl amazing,0,0,0
88,fuckyou appl and your never end bug it is not like i pay digit buck for my phone how about a littl qualiti here   anotherangrycustom,0,0,1
89,what a cute girlfriend happi one year love you digit girlfriend boyfriend card cute soni xperia z soppi,0,0,0
90,my birthday present from mom appl macbokpro macbok birthday stockholm sweden comput,0,0,0
91,photo quot of the day quot wisdom word smile follow twetgram me cute iphon fashion,0,0,0
92,have to applaud samsung sheffield store for custom servic great servic and qualiti repair all done in a few hour,0,0,0
93,just lost everyth due to the freak iphon updat that put it in recoveri mode,0,0,1
94,your appl hater yousuck briantong easytotalk producesometh is a usa compani korean samsung fan loser,0,0,1
95,thank for work on your server all day soni what dumb wrong schedul mainten today soni,0,0,1
96,new model byhilalak earphon urbanear handmad hayatinarenkat iphon soni,0,0,0
97,photo itun vicio nelyfurtado nelstar playingnow iphoneon iphon rude woman cds,0,0,0
98,see how mani featur you did not know your iphon had iphon yourtechcompani,0,0,0
99,happi in a box yey me phone soni xperia sonyxperiaz new blesed,0,0,0
100,feliz s bado con caf saturday with coffe and pantri iphonex,0,0,0
101,dreami effect creat straight from the iphon impress spring flower blosom,0,0,0
102,final my note digit is here note digit samsung galaxi galaxynot digit awsom beaman best,0,1,0
103,special ap for valentin     fashion nowplay daughter poem valentin iphon digit,0,0,0
104,photo of the day digit eri pa car sign iloveyou blackandwhit stretphotographi iphon eri pa,0,0,0
105,lunch in the park appl carrot banana and my love dog tree autumn leaves,0,0,0
106,not on my iphoneth confess ap when we spend more time confess our faith we need less time confess our sin him to much,0,0,0
107,day digit p s i love you iphon photographi book flickr,0,0,0
108,hey appl i just want to say fuck you and your new updat it took digit hour to download and i hate this bad appl io digit,1,0,1
109,photo sunset westcoast iphon taken with instagram at huntington dog beach,0,0,0
110,just ad myself to the twitter directori under new york ni iphon fun educ mom,0,0,0
111,iphon are a bad for losin phone recept got digit text n digit miss call in the last digit minut,1,0,1
112,the day has come thank to jump i can final get rid of my iphon and get my samsung note digit i absolut love tmobil,0,0,0
113,get a tast of frank ocean s new news photographi fashion health failur tech ipad iphon funni lol,0,0,0
114,so annoy when you finish all the level of where is my water but you have to buy the full version appl,0,0,1
115,noth you wear is more import than your smile smile quot mood girl boss blog life style amaz quot wcw wce bestoftheday cute pretti beauti sexi fashion babe samsung wednesday,0,0,0
116,send them as text i had to turn my imesag off,0,0,1
117,fanta appl fanta is delish sunday sundayfunday heal with a not so,0,0,0
118,she will not sleep no other way but on my lap babygirl popular iphonesia iphon digit iphon babygirl io digit,0,0,0
119,she s so lover tweet rabitsofinstagram buniesofinstagram rabbit hop bounc charli houserabit bunylov rabitsofig shotoniphon appl iphon digit plus photographi photograph famili chuck charl,0,0,0
120,my new iphon case  happi valentin  s day iphon case less lucien swarovski crystal pink,0,1,0
121,photo vegan glutenfr appl pie day at silli sali s pop up diner,0,0,0
122,technolog is so advanc these day but after sync my ipod i only hear digit second of each mlp digit song famili,0,0,1
123,sweet iphon digit sweet phone iphon appl candi fun cute beati beati gold good nice photo freak out,0,0,0
124,wait over final in hand iphonex iphonex iphon digit spacegray digit gb appl,0,0,0
125,unpack soni xperia z digit compact   android realli realli nice first impress,0,0,0
126,progress bar is digit car key long will give anoth hour if still digit car key will cold boot fear it l be dead,0,0,1
127,when siri does not understand command lol beauti funni nephew al shot iphon iger siri,0,0,0
128,endless love instagram instagod instadaili instahub instagod photofthaday iphon iphon digit d,0,0,0
129,i will liter cri if i have lost all my contact again,0,0,1
130,that look great i wonder a when it will be avail in uk   be how it compar to apl  s cloud,0,0,0
131,al fin laptop soni vaio white black case mini beauti inlove,0,0,0
132,dear blackberri occasion the best fruit fall from the tree do not worri thou it will soon be the best fruit again,0,0,0
133,username splinkio thai curri yum food it with iphon iphoneon iphoneographi for picoft,0,0,0
134,yosemit you are a steep hill to climb with my mac having a kernel issu for digit hour but now you serv me very well   apl updat,0,0,1
135,anoth fuckyou to soni playstat digit with the health warn display upon boot up,0,0,1
136,shesh up you told yes to stop kill my attract talent   p digit,0,1,0
137,spend like three hour final get all my thing ship to my new phone selfi with samsung,0,0,0
138,this advertis for new samsung galaxi gear vr is bad well made commerci feel,1,0,0
139,lost all pictur and everyth on my phone from the past year sodepres samsungalaxyftw loljk,0,-1,1
140,check out jewish american singl free   paid membership avail jewish singl iphon ap too,0,0,0
141,follow on instagram what is up surf fun capetown funni sexi me samsung,0,0,0
142,final cut pro trial does not work with yosemit argh failur again,0,0,0
143,realli appl just delet the half download el capitan on the first mistak usefuckingtor,0,0,1
144,hooray my stuff arriv excit case android samsung galaxi today open now,0,0,0
145,i realli need a new iphon charger both of mine spaz and short out constant and it piss me off like no other bad appl iphon,1,0,1
146,my phone is offici broken i can hear it go off but the screen does not work the keyboard is okay though samsung,0,0,1
147,if i have enough money then i will challeng us juri for their decis with simpl an of mine appl,0,0,1
148,golden state warrior photoftheday me instadaili like iphon follow color style,0,0,0
149,reinstal itun for the digit th time this week because it refus to synchron my phone,0,0,1
150,slept with my new iphon last night i am in love iphon atlast,0,0,0
151,father and son samsung live laugh life instago instahub instamod instagod,0,0,0
152,happi birthday j birthday j crazyfriend iphon parti lb l digit l likeal likeback,0,0,0
153,pictur of the day quot wisdom word smile follow ortho me cute iphon fashion makeup brace,0,0,0
154,want to love match with your iphon buy lovematch iphon,0,0,0
155,nice one valentinesday playstationasia ad ps digit februari playstat soni gamer colege,0,0,0
156,portrait me myself and i shot with sonya digit sonyalpha sonycamera soni soni digit male digit male dof bokeh market markt hemd schwarz blacknwhit blackandwhit grey smile,0,0,0
157,hacker wifi password android ap beauti cute color iger iphoneon iphon,0,0,0
158,extra zoom to video android ap beauti cute color iger iphoneon iphon,0,0,0
159,my phone just delet everi singl one of my contact random appl,0,0,0
160,i love my new babi ipod music appl itun gold,0,0,0
161,am i the only one tyrann reign of appl is over fuck cultist,0,0,0
162,digit follow thank to all y al inkstagram iphon instagram addict wordphoto rt,0,0,0
163,the prophet as a husband iphon android kindl book februari digit digit a,0,0,0
164,upgrad digit s to iphon digit appl iphon digit iphon instadaili instagram instalike,0,0,0
165,help deliv happi to digit digit children malaysia uai samsung soni toyota,0,0,0
166,there is someth wrong if you charg your phone at least three time a day getbeterbateri,0,0,1
167,my new samsung galaxi tab digit is like a real b tablet smile,0,0,0
168,santa has visit my wife earlier this year to see her iphoneon iphon sweden,0,0,0
169,hi world old photo folowm like digit like good dog solodivertimento samsung,0,0,0
170,marqu gray swag swagger sky dog cat iphon new folowm edit sick paint minnesota,0,0,0
171,geniusbar can suck my tube after my surgeri for this bullshit appl may be a good product but their customercar   batteri,0,0,1
172,i am happi ps digit soni playstat gta digit fun design white dualshock instaday col,0,0,0
173,holi shitbird just watch last night  s colbertreport   that appl present for the iwatch was creepi as i do not know what no,0,0,1
174,book good night relax cool perfect book iphon preguntaleaalicia this instaphoto,0,0,0
175,photo a prosper new year to everyon digit newyear art draw sketch samsung,0,0,0
176,just one more blog video girl amaz fashion otd beauti samsung swag,0,0,0
177,new iphon os on the digit g fuck suck i want to throw my phone against the wall how does the sms ap crash appl iphon,0,0,1
178,babi let my love adorn you miguel fan artdeal samsung hospit braid smile,0,0,0
179,photo digit sign peac sign junephotoaday photoadayjun bodi iphon likeit taken with,0,0,0
180,i would just delet all my photo and vid from this concert mylifesajok,0,0,0
181,let get you hook up fast w an iphon you will fall in i promis,0,0,0
182,why does it take me all even to updat two appl devic i hate you itun and i hate you appl android in the next round appl,0,0,1
183,audi to offer appl and android smartphon integr from digit,0,0,0
184,just ran to buy an iphon charger in the middl of the night these iphon charger they iphon appl,0,0,1
185,i have not use an appl product in over a year some     hole has access my old account and i can not find way to disput charg,0,0,1
186,photo pictur of the day quot wisdom word smile follow twetgram me cute iphon fashion,0,0,0
187,new york babi   new york amaz citi the big appl summer,0,1,0
188,chase pavement a stori about friendship famili music life destini and soulmat for kindl nook iphon ipad ipod,0,0,0
189,do you love photographi go follow her tweet awesom sunset photographi iphon ht,0,0,0
190,like and share if you want this car accessori bag iphon samsung,0,0,0
191,appl you suck everi time you updat your os you eras my privat inform and disabl the ap i purchas and like that s not a custom friend approach time to go to android disappoint,0,0,1
192,godnight dubai sweet dream life hope joy dubai uae iphon instagram,0,0,0
193,birthday present came in advanc thank you so much appl ipadmini iphon digit s lucki,0,0,0
194,saturday everyon look in our shop for great deal on dvds bluray vdeogam playstat digit soni playstat,0,0,0
195,turkey photographi photo travel natur photo landscap photoftheday camera soni pictur foto passion behapi,0,0,0
196,amigo friend iphonesia iphon instagod instagram photoftheday twegram,0,0,0
197,thing that make me read i just my pink eread from soni and use it nearly,0,0,0
198,edm is my life hardwel amor appl avici acedemi academia b digit be bogota mac music,0,0,0
199,its been a year and my shuffl on my samsung galaxyfamili is final doing a real shuffl its like a whole new playlist,0,0,0
200,thank you so much god christian iphon instagram iphonesia pray thank popularpag,0,0,0
201,woho final i get my nx digit final camera nx digit samsung excit nice black peac tha,0,0,0
202,famili famili friend beauti fun cuti iphon iphoneisa foreveryoung hokahbar onyx,0,0,0
203,happi my samsung galaxi note digit got updat with android kitkat version digit digit digit thank to samsung mobil,0,0,0
204,rt hot deal high tech lightn to usb cabl digit feet for   digit digit   digit digit digit off geek tech bot deal amazon home iphon ipad android samsung galaxi googl gadget gift io technew power person comput dev,0,0,0
205,in love amaz beauti copenhagen creativ compos denmark fun f digit femal hot icon kepthefaith l digit l mariajensen music origin pop produc red rock soul singer songwrit song univers soni warner,0,0,0
206,too bad does not carri any lumia devic but at least i was abl to pick up a samsung ativ s neo windowsphon,0,0,0
207,we would like to wish you an amaz day make everi minut count tls today iphon accessori news life juli digit digit at digit digit,0,0,0
208,my ipad new home ipad leopardprint neon ipad digit appl,0,1,0
209,my iphon ap i can listen to drive time hip hop from nyc whilst peel potato in my kitchen,0,0,0
210,dissatisfi appl iphon digit splus not for runner it has issu with filter in camera sweat through incasearmband,0,0,1
211,he love the fuck outa me bad imesag iphon text gay hesa wrong,1,0,0
212,she is as readi as i am to do this chromebok samsung helok diamond shine readi,0,0,0
213,beach group text beach ocean cellphon friend trio iphon karebear digit,0,0,0
214,at last i have my appl watch digit male space black stainless steel excit overthemon,0,0,0
215,i l ny hug follow like iphon tattoo christma beauti newyork,0,0,0
216,id total fuck siri her knowledg excit me siri fuckinsiri,0,0,1
217,lol i love my iphon rt to appl who fuckedup the iphon digit you know what you about to get oh yes pow  via,0,0,0
218,photo my new macbok air is instal and readi to perform appl pepsimax db taken with,0,0,0
219,throw your worri be fit and fabul marjdiari samsung fit fabol smile stayhealthy,0,0,0
220,samsung galaxi s digit plus dual sim g digit fd digit gb ram digit be black florida money today life twitch retwet twitter birthday sale android window nokia samsung iphon phone smartphon motorola lg soni offer best,0,0,0
221,new phone yes pleas been without a phone is death take hold soni sorysamsung,0,1,0
222,speed wifi digit g digit g digit android ap unitedst cute color iger iphoneon guitarplay iphon,0,0,0
223,digit digit samsung gear s digit etat come neuv samsung gear digit prixhapi occas cash,0,0,0
224,my iphon but why would you trade a comput for just a smart phone galaxynot is sexi,0,0,1
225,mac os on hight sierra is a buggi littl crap jobsdead aplenofutur,0,0,1
226,why when i send a calendar event invit to a exchang user the user can not accept it icloud versus exchang appl iphon,0,0,1
227,i like iphon only because i get to play game lol i love angri bird   iphon gam,0,0,0
228,my phone keep freez whenev i go to end a call iphon,0,0,0
229,ever sinc i updat my phone it is been fuck up bad appl iphoneproblem,1,0,1
230,chicwithatwist team otd mixandmatch urban style expresyourselfi workshop samsung galaxya,0,0,0
231,i have been tri for digit hour to synchron my ipod i give up,0,0,1
232,convers with my sister i would not swap her sister text imesag iphon chat,0,1,0
233,small and blue stemit blue small life stori blog tri natur naturephoto bug blue color color photo photo photographi soni sonylen len sonyphotographi imag imag photof feed follow home gr wrong grassland land,0,0,0
234,photo oh yeah pretti cute gorgeous beauti ig iphon ignat instahub,0,0,0
235,just bought someth kahapon walkman soni xempr with orang headset laugh,0,1,0
236,shadesofmonlight me dress parti alcohol night heel iphon leg stripe,0,0,0
237,i am actual about to cri that i could not screnshot that snapchat because my lock button is broken appl,0,0,1
238,my egg speaker d speaker egg awesom music ipod appl school chill relax,0,1,0
239,be realyr ap approv for iphon ipad date colleg colleg vc,0,0,0
240,mychristmaswish is the same as last year for all my other wish to come true of cours fame friend chocol food iphon,0,0,0
241,i swear if the iphon updat just eras everyth on my phone i am guna flip shit,0,0,1
242,yes itun take your time and not put my song on my ipod wishishadagalaxi,0,0,1
243,just tri to help iphon major usa help ador,0,1,0
244,get email with pictur like this make my life iphon instagram nofilt cute christma popular,0,0,0
245,i my iphon  s wallpap so much it is full of constel at the milk way want me to bump,0,0,0
246,this drink is amaz fruit appl cherri purpl tasti drink sun garden,0,0,0
247,blocki car android game news io appl iphon,0,0,0
248,hey guy look newmotorolamotoext digit ndgen digit gbsimfr money today life twitch birthday sale android window nokia samsung iphon phone smartphon motorola offer bestpric jun digit digit digit digit am,0,0,0
249,can not unlock samsung galaxi solo winner caus its about as good as a blackberri although i manag to unlock that samsung vodafon,0,0,1
250,look what mommi got digit me p iger ipad appl mom gift instahub instadaili bless freak out,0,0,0
251,if appl could make itun and itunesradio a bit more it would be fabul disappoint,0,0,1
252,final iphon will be domin by iphon s appl io android iphonex market chines smartphon,0,0,0
253,my  hate rant iphon does not synch with outlook or entourag darthjobsstrikesagain say no to appl close system,0,0,1
254,good morn everyon jam nike iphon appl digit s godmorn selfi coffe,0,0,0
255,rt pictur by smileykid digit   tenni today   tenni babolat pink iphon black gold green are,0,1,0
256,photo appl ipad iphon imac ibra samsung galaxi instragram instramod smile in the,0,0,0
257,senza love without nasimibeach compleano birthday hb appl sun iphone,0,0,0
258,dear appl thank you for sell me a digit dollar laptop that be out of date in digit year and will not be abl to run diablo digit postscript,0,0,1
259,so conveni that my iphon stop work complet less than digit month after my warranti end mad appl,0,0,1
260,the purpos of life is to live a life of purpos mondaymotiv iphon ipad io mondaymotiv,0,0,0
261,pari and i iphon photo chronicl   violenc and horor   pari iphon poster wall einstein answer,0,0,0
262,appl will be roll out the verizon iphon at valentin  s day sale,0,0,0
263,by twitter tehran photographi afliat market iran iphon rubi obama osama saddam iraq googl adword d,0,0,0
264,happi new year digit newyear reveilon digit hapynewyear digit newyear year digit nouvelean nouvelean instagram instagram digit web webmast webdesign elodiewebdesign appl mac macbok,0,0,0
265,that sunday when i am trana cram all my work sunday mac macbok samsung s digit mom work life,0,0,0
266,hi appl thank for the digit gig for   digit with retard fuckup recycl and the free appl iphon headphon no for io whatev,0,0,1
267,digit   digit present stage is my home show pop musician rock hardrock sound live sbamfest festiv itali torino turin guitarpractic gig event music guitar metal stratocast appl iphon socialmedia club sneak life band rt webzin,0,0,0
268,learn this my smoke smoke paint iphon art life green inocent,0,0,0
269,indulg now swim tomorrow alamerican seasonalcrisp apleblueberylemoncaramel digit th see you at the beach we are close monday,0,0,0
270,gunslug digit android game news io appl iphon,0,0,0
271,have not tri instagram yet here  s some reason to give it a whirl iphon,0,0,0
272,too delici morn friday smoothi nutribulet tasti appl orang banana honey,0,0,0
273,you do not have to wait to long for anoth appl failur to come along or an itard to appear,0,0,0
274,reflect iphonesia iphon instagod instagram photoftheday twegram iphoneon far far away,0,0,0
275,hi to my new phone cover ebay blue tower samsung,0,1,0
276,altern power fix for appl cinema display digit priceless just take a random digit volt power connector finish so easi,0,0,0
277,new phone iphon iphon digit new phone mine silver white excit,0,0,0
278,thank for still provid updat for my oneplus digit i am now on android o never had that experi with other mobil oneplus,0,0,0
279,the iphon does not seem to have a confeder flag emoji in its littl flag section this has to chang southernmen go ahead al,0,0,0
280,photo the new addit to our famili instap life samsung s digit april spring cali,0,0,0
281,fuck appl man i just wana use male wifi and you are tell me i have to be digit digit or digit digit to use wifi appl,0,0,1
282,take a look at samsung  s cool i see your dream initi samsung iseyourdream soccer kid fun,0,0,0
283,digit hour usag and phone down digit thank iphon appl,0,0,1
284,tablet use gogl  s android system account for digit digit of the market while apl  s io achiev digit digit androidaltheway,0,0,1
285,downgrad my phone but backup are not compat between version all that retain was my phonebook go to upgrad again,0,0,1
286,and spell check if i mistyp quickest how can quackiest be an altern just how often do peopl use that word,0,0,1
287,dude this is the digit th usb chord that is broken in the past digit digit month,0,0,1
288,one of my newest model iphon iphoneographi tumblr twegram instagramadict life thingsilov,0,0,0
289,new samsung galaxi advanc case i get it from my best friend madelief digit thank you,0,0,0
290,yey thank dad xperia soni z digit xperiaz digit gift graduationgift,0,1,0
291,follow on instagram what is up surf fun capetown funni sexi me samsung,0,0,0
292,anyon els having troubl with iphon updat it is take age to run the new camera stuff,0,0,1
293,gain follow rt this must follow me i follow back follow everyon who rts gain iphon sougofolow f,0,0,0
294,to my world iphon digit   iphon digit iphon appl life cni,0,1,0
295,why can not an iphon block number which call everi day replay pi etc was possibl on an old nokia,0,0,1
296,hey why do we schedul apt if y al never honor them and are never on time frustrat theirempsareemp,0,0,1
297,uninst samsung kie to get android file transfer work on maco no other option work for me,0,0,0
298,gain follow rt this must follow me i follow back follow everyon who rts gain iphon sougofolow  rfj,0,0,0
299,photo yea brother fifa all day dope iphon instagod instagram playstat digit it picoftheday instaphoto,0,0,0
300,final we get someth from appl the american do not roger bell telus,0,0,0
301,fib rhyme with sib nib jib bib rib dib start today with rhyme for iphon,0,0,0
302,oneplus digit final fix so fast so effici thank digit oneplus,0,1,0
303,thought it would be fun to jailbreak my ipod now i am sit here restor it to factori set appl jailbreak,0,0,1
304,love my fuck ipad rednos musicevideo blackfriday walmart appl ipadmini,0,0,0
305,why do peopl with iphon have to keep show me what they do,0,0,1
306,follow on instagram what is up surf fun capetown funni sexi me samsung,0,0,0
307,photo meanwhil in twiter samsung galaxypocket samsungcherd bless instafun,0,0,0
308,honor me for use   digit in my first ever stock of mine i am thank you samsung stockmarket stock stockport stocktonscholar invest into stockpil samsung positivevib stocksmarket investor invest i,0,0,0
309,happi mother  s day mom mothersday iphon igdaili instagod iphoneon me bestoftheday,0,0,0
310,rt i am marri but here you go d rt healthi date there is an ap for that iphon,0,1,0
311,follow on instagram what is up surf fun capetown funni sexi me samsung,0,0,0
312,why can not iphon have the option to chang the font like what if i want a cute gir one but no that is not an option sorri ugh,0,0,1
313,use   love instagram upgrad introduc a power new featur iphon ap,0,0,0
314,appl iphon x appl iphonex techjunki tech iphon upgrad youbeauti beaut,0,0,0
315,only reason i would get an iphon is b c of all the supercol case out there especi the one with a bottl open on the back,0,0,0
316,solid gold retro christma video femal friend gratitud ipad iphon blackberri entrpreneur,0,0,0
317,yes final got the nougat updat on my samsung s digit edg and woke up to my batteri use only digit while i slept compar to digit,0,0,1
318,unbox my new smartphon op digit oneplus digit oneplus amazon excit wala,0,0,0
319,my small garden stemit small garden home life look stori photo photo photographi imag imag wow cool like soni sonylen sonyphoto sonyphoto sonyphotographi photof feed new top colorchaleng,0,0,0
320,new video youtub subscrib daili vlog twitch game twitch ps digit xbox soni game destini digit danc,0,0,0
321,hate how my phone has an ipod in it it take the batteri down so much iphon,0,0,1
322,new one yey babypink pink oterbox samsung s digit phone phonecas cute new,0,0,0
323,we would like to wish you an amaz day make everi minut count tls today iphon accessori news life june digit digit at digit digit,0,0,0
324,under water summer summertim pool countryhous countrysid xperiaz digit soni me,0,0,0
325,i am tri bad it i am instagram iphon digit iphon iphoneographi imisyou longdist sad,1,0,0
326,first yellow stemit yellow natur color color new stori blog photo photo photographi imag imag soni sonylen sonyphoto sonyphoto sonyphotographi photof news top wow cool like look color colorphotographi,0,0,0
327,be good to your woman our she might do this iphon smash phoneunlock motorola india uk canada kenya smartphon motorola wikomobil europ franc relationshipgoals,0,0,0
328,anyon know why my ipod will not turn on i tri charg it and noth hateapl,0,0,1
329,munch chocol instagod iphoneon iphon dairymilk cadburi oreo tasti girl,0,0,0
330,tell us what you about supacamx the amaz new live camera effect ap on iphon,0,0,0
331,new cellphon case samsung galaxi digit cute case rilakuma bear new phone super,0,0,0
332,headphon soni red headphon music igerspiura see see real plaza piura,0,0,0
333,photo the healthi balloon survivor laugh googl color motorola fun,0,0,0
334,photo iphonesia iphon instagod instagram photoftheday twegram iphoneon iger,0,0,0
